global_unique_identifier,latitude,longitude,scientific_name,observation_date,effort_distance_km,effort_area_ha,cartodb_id,created_at,updated_at
URN:CornellLabOfOrnithology:EBIRD:OBS127919807,-0.0510693,-78.77841,Lepidocolaptes lacrymiger,2/13/96,9.656,,5083,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS135119921,-0.4640815,-77.8892469,Lepidocolaptes lacrymiger,4/6/96,3.219,,8655,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS137200662,4.2625562,-73.8093173,Lepidocolaptes lacrymiger,10/16/89,,,9137,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS158338954,-16.691,-66.479,Lepidocolaptes lacrymiger,8/18/01,1,,12207,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS168876698,-4.4948845,-79.1325474,Lepidocolaptes lacrymiger,9/8/99,20,,14528,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS172014355,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,7/29/00,1.609,,15384,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176633806,4.69375,-75.498222,Lepidocolaptes lacrymiger,7/5/95,,,16318,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176633910,4.69375,-75.498222,Lepidocolaptes lacrymiger,7/3/95,,,16332,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176663175,3.5176,-76.6203,Lepidocolaptes lacrymiger,3/9/01,,,16402,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176662014,3.5176,-76.6203,Lepidocolaptes lacrymiger,5/2/04,,,16423,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176662755,4.69375,-75.498222,Lepidocolaptes lacrymiger,3/14/01,,,16427,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176661839,4.72895,-75.577607,Lepidocolaptes lacrymiger,5/4/04,,,16438,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS179183362,10.7035653,-62.6306625,Lepidocolaptes lacrymiger,2/11/93,4,,17220,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS183612281,-0.6049235,-77.8880882,Lepidocolaptes lacrymiger,12/29/03,,,18282,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS208273270,-0.01691,-78.687681,Lepidocolaptes lacrymiger,2/10/02,6.437,,23272,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS238456364,3.5666667,-76.5833333,Lepidocolaptes lacrymiger,10/18/98,2.5,,31466,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS47351200,8.5902778,-71.1355556,Lepidocolaptes lacrymiger,2/4/95,,,33311,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS114955496,-4.0321027,-79.003742,Lepidocolaptes lacrymiger,2/15/04,,,39640,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS125708970,-13.1316416,-71.5745544,Lepidocolaptes lacrymiger,9/4/94,,,41157,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
