NUTS YYYY MM 0 BAREA
DE121 1997 05 2 0.232016
DE122 1997 05 2 0.0637817
DE124 1997 03 2 1.28501
DE125 1997 05 2 0.107349
DE128 1997 04 2 0.340913
DE129 1997 03 2 0.297982
DE12A 1997 03 2 0.0815152
DE123 1998 04 2 0.434829
DE124 1998 03 2 0.0796515
DE12A 1998 05 2 0.345525
DE412 1998 05 3 1.22806
DE412 1998 06 2 0.0130324
DE412 1998 07 2 0.0611725
DE412 1998 08 2 0.913361
DE412 1998 09 2 0.0146242
DE413 1998 03 2 0.108482
DE413 1998 04 2 0.0403881
DE413 1998 05 3 0.0507124
DE413 1998 08 2 0.267596
DE414 1998 03 2 0.363849
DE414 1998 05 3 0.347403
DE414 1998 06 4 2.88662
DE414 1998 07 3 0.0392562
DE414 1998 08 4 0.49688
DE415 1998 02 3 0.20879
DE415 1998 03 3 0.0162351
DE415 1998 05 3 1.74778
DE415 1998 06 3 0.0208709
DE415 1998 07 3 0.27388
DE415 1998 08 3 1.21651
DE416 1998 06 3 0.0236748
DE416 1998 08 3 0.260007
DE417 1998 05 2 0.0931233
DE417 1998 06 2 0.0117269
DE417 1998 08 2 0.227174
DE418 1998 03 4 3.13756
DE418 1998 04 3 0.163528
DE418 1998 05 3 2.43519
DE418 1998 06 3 0.370169
DE418 1998 07 3 3.51113
DE418 1998 08 5 0.863216
DE421 1998 03 2 0.0716028
DE421 1998 05 3 0.726903
DE421 1998 06 3 1.80126
DE421 1998 08 3 0.228295
DE422 1998 03 2 0.284016
DE422 1998 05 2 0.0148151
DE422 1998 06 2 0.00614217
DE423 1998 06 4 0.111207
DE424 1998 02 2 1.02572
DE424 1998 03 2 0.637232
DE424 1998 04 4 1.60236
DE424 1998 05 4 2.35991
DE424 1998 06 4 0.51498
DE424 1998 07 2 0.283466
DE424 1998 08 2 0.355448
DE424 1998 09 2 0.0572774
DE425 1998 03 3 0.29827
DE425 1998 04 2 0.229308
DE425 1998 05 2 2.33178
DE425 1998 06 5 1.14979
DE425 1998 08 3 0.366289
DE123 1999 03 2 1.03189
DE126 1999 03 2 0.161851
DE127 1999 06 2 0.164155
DE128 1999 04 2 2.56944
DE128 1999 05 2 0.0157669
DE128 1999 07 2 0.0745548
DE128 1999 09 2 0.00695462
DE128 1999 11 2 0.00687936
DE411 1999 09 2 0.199858
DE412 1999 04 2 2.83041
DE412 1999 05 5 0.252814
DE412 1999 06 3 0.0318186
DE412 1999 07 3 1.23219
DE412 1999 08 3 3.10461
DE412 1999 09 3 0.901185
DE413 1999 05 2 0.0545964
DE413 1999 07 5 1.81325
DE413 1999 08 5 0.371798
DE413 1999 09 4 0.41315
DE413 1999 10 2 0.0088951
DE414 1999 07 4 3.66707
DE414 1999 08 2 0.0088249
DE414 1999 09 5 0.220678
DE414 1999 10 3 0.0750015
DE415 1999 03 2 0.0101451
DE415 1999 04 3 0.407166
DE415 1999 05 3 2.39059
DE415 1999 06 3 2.85613
DE415 1999 07 3 1.95067
DE415 1999 08 3 11.2052
DE415 1999 09 3 6.63033
DE416 1999 05 4 1.69441
DE416 1999 06 3 0.0426324
DE416 1999 07 2 0.0131683
DE416 1999 08 4 0.593951
DE416 1999 09 2 0.347715
DE417 1999 05 2 0.0071362
DE417 1999 07 4 0.84376
DE417 1999 08 2 0.0310437
DE418 1999 07 3 0.548349
DE418 1999 08 2 0.0216208
DE418 1999 09 2 0.141783
DE421 1999 05 2 0.0139915
DE421 1999 08 3 1.63382
DE421 1999 10 2 0.0805432
DE422 1999 08 2 0.281546
DE422 1999 09 3 1.69918
DE423 1999 05 5 0.172255
DE423 1999 07 2 0.0116017
DE423 1999 09 2 0.00682225
DE424 1999 03 2 0.363183
DE424 1999 04 2 0.980992
DE424 1999 05 2 1.54027
DE424 1999 06 3 0.133988
DE424 1999 07 3 2.31606
DE424 1999 08 3 10.2854
DE424 1999 09 2 0.0148084
DE425 1999 03 3 0.18435
