longitude,latitude
-11.47278188,6.914623002
-11.37561009,6.773282207
-11.37561009,6.71144561
-11.0134243,6.534769617
-10.83674831,6.43759782
-10.78374551,6.358093623
-10.81908071,6.287423226
-10.69540751,6.207919029
-10.43922732,6.163750031
-10.20071473,6.031243036
-10.04170634,5.889902241
-10.01520494,5.828065644
-9.794359947,5.624888252
-9.644185352,5.474713657
-9.564681156,5.448212258
-9.494010758,5.306871464
-9.281999566,5.14786307
-9.025819376,5.006522275
-8.804974385,4.847513882
-8.539960395,4.732674486
-8.336783003,4.600167491
-8.098270412,4.520663294
-7.89509302,4.467660496
-7.753752225,4.3704887
-7.506405835,4.335153501
-7.559408633,4.644336489
-7.532907234,4.794511084
-7.568242432,4.821012483
-7.568242432,4.89168288
-7.515239634,4.918184279
-7.532907234,5.059525073
-7.462236836,5.15669687
-7.435735437,5.253868666
-7.36506504,5.306871464
-7.36506504,5.377541861
-7.435735437,5.368708061
-7.435735437,5.40404326
-7.37389884,5.510048856
-7.37389884,5.589553053
-7.435735437,5.722060048
-7.418067838,5.819231844
-7.462236836,5.836899443
-7.488738235,5.810398045
-7.656580429,5.91640364
-7.691915628,5.898736041
-7.762586025,5.969406438
-7.780253624,6.075412034
-7.824422622,6.093079634
-7.824422622,6.19908523
-7.912760619,6.296257026
-8.001098616,6.296257026
-8.15127321,6.269755627
-8.310281604,6.358093623
-8.363284402,6.349259824
-8.389785801,6.428764021
-8.389785801,6.45526542
-8.425120999,6.464099219
-8.469289998,6.428764021
-8.557627994,6.499434418
-8.336783003,6.764448408
-8.319115403,6.835118805
-8.319115403,6.958792
-8.257278806,6.985293399
-8.283780205,7.091298995
-8.274946405,7.153135593
-8.336783003,7.241473589
-8.372118201,7.391648184
-8.4074534,7.49765378
-8.495791397,7.594825576
-8.557627994,7.630160774
-8.539960395,7.691997372
-8.66363359,7.691997372
-8.707802588,7.612493175
-8.707802588,7.524155179
-8.831475784,7.347479185
-8.822641984,7.241473589
-8.902146181,7.267974988
-9.025819376,7.22380599
-9.087655974,7.188470791
-9.078822174,7.276808788
-9.167160171,7.276808788
-9.19366157,7.382814384
-9.273165767,7.373980584
-9.273165767,7.435817182
-9.326168565,7.435817182
-9.414506561,7.418149583
-9.405672762,7.515321379
-9.352669964,7.630160774
-9.361503763,7.709664971
-9.361503763,7.789169168
-9.388005162,7.886340965
-9.405672762,8.045349359
-9.44984176,8.169022554
-9.511678358,8.186690153
-9.476343159,8.301529549
-9.494010758,8.363366146
-9.467509359,8.389867545
-9.591182554,8.425202744
-9.653019152,8.495873141
-9.776692347,8.513540741
-9.803193746,8.487039342
-9.935700741,8.487039342
-10.05054014,8.425202744
-10.05937394,8.53120834
-10.13887813,8.53120834
-10.24488373,8.487039342
-10.29788653,8.495873141
-10.29788653,8.363366146
-10.32438793,8.27502815
-10.32438793,8.186690153
-10.36855692,8.142521155
-10.50106392,8.124853555
-10.58940192,8.027681759
-10.60706952,7.762667769
-10.67773991,7.762667769
-10.81908071,7.524155179
-10.9162525,7.49765378
-11.0487595,7.391648184
-11.15476509,7.312143987
-11.17243269,7.259141189
-11.30493969,7.22380599
-11.33144109,7.091298995
-11.41977908,6.9676258
