"x","y","lead","survey"
563905,4725575,3.384,1997
573808,4719010,8.798,1997
592966,4697028,6.019,1997
586754,4666964,4.132,1997
560248,4674460,6.233,1997
520665,4663130,5.877,1997
523050,4692006,9.51,1997
557489,4708861,8.619,1997
540951,4727622,6.554,1997
508186,4730837,5.165,1997
485321,4757499,8.05,1997
526027,4775301,7.515,1997
517911,4768611,6.34,1997
571015,4751187,3.063,1997
631777,4817632,5.378,1997
645953,4797924,2.956,1997
636446,4786615,5.449,1997
611486,4772830,7.8,1997
599279,4772641,3.384,1997
624405,4778608,6.554,1997
656244,4773708,7.124,1997
663757,4731661,4.523,1997
626992,4726444,4.274,1997
625675,4708648,3.633,1997
646769,4682399,2.173,1997
658513,4673766,3.134,1997
598411,4719315,4.844,1997
592864,4824758,3.633,1997
600889,4828206,2.208,1997
584634,4836867,2.386,1997
602621,4820456,2.173,1997
606612,4811647,5.592,1997
606750,4814966,2.921,1997
609086,4820558,2.778,1997
611786,4803939,1.71,1997
623046,4808578,2.849,1997
621567,4800755,6.696,1997
615272,4789556,3.704,1997
602842,4806018,1.816,1997
607066,4794976,3,1997
599734,4797085,3.491,1997
601438,4791557,2.636,1997
595102,4780357,2.778,1997
591730,4789197,1.674,1997
582692,4797967,4.4,1997
581270,4781289,3.526,1997
573083,4786749,4.203,1997
582597,4805740,6.4,1997
572880,4805628,3.989,1997
567289,4797796,8.869,1997
578548,4805692,8.691,1997
576891,4809005,7.836,1997
579162,4822361,3.348,1997
576827,4814558,3.918,1997
587312,4816907,1.995,1997
556824,4788815,8.156,1997
548730,4785420,8.726,1997
543073,4780940,3.775,1997
547252,4764309,2.707,1997
566652,4780019,5.058,1997
542329,4769829,1.816,1997
554584,4764364,3.384,1997
552834,4779898,3.847,1997
605370,4840339,1.9,2000
619851,4840170,2.7,2000
574784,4825394,4.7,2000
589356,4825236,2.8,2000
605943,4824406,2.6,2000
620199,4824575,4.6,2000
635504,4824874,3.1,2000
650079,4822774,1.9,2000
575644,4810384,2.9,2000
589637,4810469,2.8,2000
605242,4811759,2.7,2000
620054,4809832,2.5,2000
634623,4809872,1.8,2000
650416,4810019,2.3,2000
515011,4794561,2.1,2000
530490,4795099,1.7,2000
545329,4795116,4.6,2000
559918,4795322,3.7,2000
574481,4795036,1.8,2000
590717,4795632,2.3,2000
604990,4795647,1.7,2000
620629,4795352,1.6,2000
635237,4795254,2.5,2000
649066,4796168,1.9,2000
664394,4795715,1.7,2000
500540,4779879,1.4,2000
515933,4779878,2,2000
530219,4780463,1.7,2000
545478,4780668,2.1,2000
560499,4779817,2.9,2000
575760,4780267,2.9,2000
589724,4780031,7.7,2000
605719,4779602,1.5,2000
619997,4780076,1.1,2000
634756,4780657,1.3,2000
648935,4780248,2,2000
665883,4779888,2.4,2000
485106,4764258,3,2000
499738,4764283,1.7,2000
514941,4763821,2,2000
528895,4765422,1.2,2000
545773,4765259,1.7,2000
560304,4764675,1.7,2000
575286,4764272,1.9,2000
604838,4765264,1.3,2000
620036,4764670,1.7,2000
635173,4764988,1.9,2000
649105,4763764,2.1,2000
666644,4763563,1.7,2000
499963,4750173,2.1,2000
530073,4748961,1.6,2000
544907,4750800,1.7,2000
559768,4750038,1.4,2000
574954,4749837,1.6,2000
589725,4749900,1.4,2000
604692,4749280,1.4,2000
619991,4750253,1.8,2000
634971,4749982,1.9,2000
650290,4750014,1.3,2000
663963,4750491,1.2,2000
679446,4750584,1.4,2000
514768,4735131,3.6,2000
560092,4735215,1.4,2000
574807,4735376,1.2,2000
589935,4735031,1.1,2000
605200,4734985,1,2000
620441,4735131,2.1,2000
634461,4735268,1.3,2000
649667,4734372,1.7,2000
665706,4735449,1,2000
500254,4719942,2.3,2000
530278,4719569,2.8,2000
545240,4720437,8.7,2000
559978,4720271,3.5,2000
574692,4719743,1.2,2000
588610,4720359,1,2000
604925,4719858,0.9,2000
620061,4720103,1.1,2000
633458,4721976,1.5,2000
649472,4720156,1.8,2000
664857,4720288,1.3,2000
529940,4705156,3.6,2000
544695,4704987,4.8,2000
560026,4705304,1,2000
574566,4705081,1.5,2000
590291,4704985,3.1,2000
602839,4706071,1.3,2000
620052,4704564,1.2,2000
635524,4705277,1.2,2000
649834,4704772,1.9,2000
668345,4705375,1.8,2000
680488,4706766,1.1,2000
530284,4689857,6,2000
545172,4690069,2.5,2000
560224,4689874,1.6,2000
575109,4690174,1.5,2000
590063,4690200,2.6,2000
604783,4690015,3.2,2000
620145,4689978,1.2,2000
634325,4690087,1.3,2000
650050,4689879,1.936812,2000
666160,4689524,2.5,2000
691243,4698574,1.3,2000
544684,4675184,3,2000
560457,4674955,2.4,2000
605421,4674412,1.6,2000
618554,4675127,1.9,2000
635543,4676715,1.3,2000
651133,4676285,1.5,2000
664719,4675052,1.936812,2000
677681,4675972,3,2000
514765,4660239,3.2,2000
544723,4659834,2.8,2000
559246,4660281,1.7,2000
576241,4662052,1.4,2000
590242,4660059,1.3,2000
621309,4660783,1.7,2000
650620,4660451,1.7,2000
664894,4659688,1.5,2000
514654,4645081,2.7,2000
529879,4645878,2.9,2000
545695,4645878,2.9,2000
590229,4644870,0.8,2000
605083,4645230,1.4,2000
619783,4645525,2.1,2000
635890,4644637,2.3,2000
665188,4645224,1.6,2000
558758,4631279,2.9,2000
620282,4631768,1.2,2000
633882,4630500,1.6,2000
666725,4630899,1.7,2000
569451,4617348,4.5,2000
