"x","y"
605451.299573852,4849553.28944121
605451.788456253,4849522.41337078
605541.335542852,4849523.83183101
605541.817797852,4849493.40002142
605564.18455811,4849493.75450571
605564.673954579,4849462.87843738
605587.040818677,4849463.23299666
605587.533837933,4849432.13479964
605632.106861967,4849432.8415912
605632.596563861,4849401.9655253
605654.96363649,4849402.32030917
605655.453439611,4849371.44424455
605700.187792659,4849372.15403742
605700.674275507,4849341.50010386
605723.041555174,4849341.85511286
605723.531664494,4849310.97905064
605745.899048003,4849311.33413463
605746.389258548,4849280.45807366
605768.756745889,4849280.81323265
605769.074214226,4849260.82153918
605769.247057657,4849249.93717297
605784.614719208,4849250.18122852
605791.614648834,4849250.29240695
605792.105061824,4849219.41634856
605814.311838172,4849219.76910108
605814.802351636,4849188.89304397
605837.170150484,4849189.24842739
605837.657235575,4849158.59450143
605860.025137512,4849158.94995985
605860.515853433,4849128.07390529
605882.883859208,4849128.42943869
605883.374676348,4849097.55338539
605972.847115427,4849098.97626983
605973.338344955,4849068.10021736
606145.766700689,4849070.84573083
606241.435072587,4849072.37094919
606240.94259986,4849103.24700348
606397.358460002,4849105.74367823
606396.86525943,4849136.61973501
606553.280399626,4849139.12008528
606553.774325528,4849108.24402744
606576.222899255,4849108.60317537
606576.716926731,4849077.72711881
606599.085143461,4849078.0850546
606600.985214386,4848959.356634
606623.430274768,4848954.93885235
606623.677386235,4848939.50082732
606624.420494613,4848893.07568942
606646.789334269,4848893.43377459
606647.772639317,4848832.01487672
606670.141685411,4848832.37303672
606670.636105073,4848801.49699238
606693.005255006,4848801.85522738
606693.499775863,4848770.97918431
606715.869029613,4848771.3374943
606716.365430873,4848740.35038764
606738.573858197,4848740.70619404
606739.068580683,4848709.83015353
606761.438042477,4848710.18861296
606761.927526343,4848679.6457684
606916.502828593,4848682.12480141
606919.010027335,4848651.28104846
606950.955202155,4848651.79383015
607008.327771082,4848652.71515533
607008.823729873,4848621.83911725
607053.563276284,4848622.55791269
607054.061224731,4848591.57081087
607121.170857452,4848592.64956714
607121.670901482,4848561.5514014
607143.879948609,4848561.90854867
607144.376521319,4848531.03251398
607166.746607409,4848531.39232399
607167.234348337,4848501.0716149
607189.604536375,4848501.4314999
607190.574853745,4848441.12328012
607212.973841614,4848439.70620225
607213.2705363,4848421.2694363
607213.470715336,4848408.8301728
607226.909109519,4848409.0464437
607235.841215863,4848409.19020762
607236.338190761,4848378.31417943
607258.708795113,4848378.67428924
607259.202295106,4848348.02039203
607281.573002536,4848348.38057683
607282.070179797,4848317.50455117
607304.280049968,4848317.8622189
607304.777327655,4848286.98619454
607327.148242727,4848287.34652878
607327.645621584,4848256.47050567
607394.758678627,4848257.55195879
607395.256366075,4848226.67593666
607433.802293815,4848227.2973645
607462.450206917,4848227.75936353
607462.865801218,4848201.99232418
607485.078014204,4848197.24030782
607485.32706275,4848181.8022977
607486.070621171,4848135.71039907
607508.442054945,4848136.07133315
607508.940250038,4848105.19531595
607531.311787634,4848105.55632501
607531.813668746,4848074.45817946
607576.63742672,4848075.18172198
607577.1359282,4848044.30570717
607621.8794205,4848045.02825122
607622.370951235,4848014.59649671
607644.742799773,4848014.9578813
607645.744000827,4847952.98372825
607668.116057632,4847953.34518767
607670.606973632,4847799.18728277
607648.234399049,4847798.82582412
