ID NUTS YYYY MM 0 BAREA
1 BG311 2005 04 2 0.282594
2 BG311 2006 11 2 0.600812
3 BG311 2007 01 3 65.8331
4 BG311 2007 02 3 9.78246
5 BG311 2007 04 2 44.4997
6 BG311 2007 06 2 30.5861
7 BG311 2007 07 2 5534.21
8 BG312 2005 04 3 10.6419
9 BG312 2006 10 2 0.293182
10 BG312 2006 11 5 92.0624
11 BG312 2006 12 3 29.1471
12 BG312 2007 01 3 114.535
13 BG312 2007 02 3 17.3247
14 BG312 2007 03 3 322.063
15 BG312 2007 04 3 521.189
16 BG312 2007 05 3 4.13178
17 BG312 2007 06 2 5.94132
18 BG312 2007 07 2 1117.64
19 BG313 2005 03 2 48.0927
20 BG313 2006 03 2 6.13806
21 BG313 2006 07 2 2.44256
22 BG313 2006 11 2 0.347652
23 BG313 2007 01 2 205.374
24 BG313 2007 02 2 103.186
25 BG313 2007 03 2 394.699
26 BG313 2007 04 5 36.6292
27 BG313 2007 05 3 7.68499
28 BG313 2007 07 3 267.507
29 BG313 2007 08 2 8.23134
30 BG314 2005 03 4 2.21985
31 BG314 2006 07 3 2.58765
32 BG314 2006 08 2 3.64928
33 BG314 2006 09 2 0.302142
34 BG314 2007 03 2 31.1266
35 BG314 2007 05 3 49.9327
36 BG314 2007 06 2 5.50835
37 BG314 2007 07 2 1243.67
38 BG314 2007 08 2 70.1061
39 BG315 2005 03 2 125.772
40 BG315 2005 04 2 95.5232
41 BG315 2005 06 2 3.70607
42 BG315 2006 04 2 36.2185
43 BG315 2006 11 3 31.5821
44 BG315 2006 12 3 123.5
45 BG315 2007 01 3 97.1538
46 BG315 2007 02 3 72.1268
47 BG315 2007 03 3 1825.58
48 BG315 2007 04 3 709.847
49 BG315 2007 05 4 37.3087
50 BG315 2007 07 4 2595.44
51 BG321 2005 03 3 59.201
52 BG321 2005 04 2 0.562725
53 BG321 2006 03 2 6.28263
54 BG321 2006 08 2 3.23006
55 BG321 2006 11 2 1.01262
56 BG321 2007 01 2 34.6964
57 BG321 2007 02 2 15.8478
58 BG321 2007 03 2 128.72
59 BG321 2007 04 2 44.5743
60 BG321 2007 05 4 36.5963
61 BG321 2007 06 3 0.207622
62 BG321 2007 07 3 736.828
63 BG321 2007 08 3 16.4847
64 BG322 2005 03 3 6.33855
65 BG322 2005 04 2 5.45605
66 BG322 2006 03 3 1.85972
67 BG322 2006 11 2 0.248026
68 BG322 2007 01 2 25.6421
69 BG322 2007 02 3 2.47755
70 BG322 2007 03 3 23.3933
71 BG322 2007 04 3 61.2729
72 BG322 2007 07 3 1142.19
73 BG322 2007 08 3 0.195825
74 BG323 2005 03 3 8.98824
75 BG323 2005 04 2 3.04655
76 BG323 2006 03 2 2.67472
77 BG323 2006 06 2 3.01386
78 BG323 2006 08 4 0.911752
79 BG323 2006 09 2 0.759697
80 BG323 2007 04 5 2.25699
81 BG323 2007 05 2 0.346974
82 BG323 2007 07 2 10.9846
83 BG323 2007 09 2 0.218432
84 BG324 2005 03 2 0.97613
85 BG324 2005 04 2 2.06119
86 BG324 2006 04 2 0.64145
87 BG324 2006 08 2 7.40875
88 BG324 2007 01 2 1.83585
89 BG324 2007 05 2 0.0708554
90 BG324 2007 06 2 3.00246
91 BG324 2007 07 2 31.0683
92 BG325 2005 04 2 1.34959
93 BG325 2005 07 2 27.4231
94 BG325 2006 08 2 1.34587
95 BG325 2006 09 2 0.249886
96 BG325 2007 03 3 50.6905
97 BG325 2007 07 3 139.212
98 BG325 2007 10 2 4.28359
99 BG331 2005 01 2 0.901016
100 BG331 2005 03 2 2.26082
101 BG331 2005 04 2 13.956
