sLong,sLat,mean,lu_avg_01,lu_avg_02,lu_avg_03,lu_avg_04,lu_avg_05,lu_avg_06,lu_avg_07,lu_avg_08,lu_avg_09,lu_avg_10,lu_avg_11,lu_avg_12,prec,tmin,tmax,soil_avg_01,soil_avg_02,soil_avg_03,soil_avg_04,soil_avg_05,soil_avg_06,soil_avg_07,soil_avg_08,soil_avg_09,soil_avg_10,hydro_avg_01,hydro_avg_02,hydro_avg_03,hydro_avg_04,hydro_avg_05,hydro_avg_06,hydro_avg_07,hydro_avg_08,hydro_avg_09,hydro_avg_10,hydro_avg_11,hydro_avg_12,hydro_avg_13,hydro_avg_14,hydro_avg_15,hydro_avg_16,hydro_avg_17,hydro_avg_18,hydro_avg_19,dem_avg,slope_ave,lentic_lotic01
-123.1875,46.179165,0.566666666666667,28,0,15,45,23,22,12,0,0,0,5,2,77547512,22,120,69,68,46,44,21,17,27,1270,240,7,108,113,39,5677,288,2,286,45,184,185,41,868295360,107329616,38819396,29,310689856,136347292,310689856,136347292,1470,492,8
-123.129166,45.4375,1.16666666666667,24,0,6,25,0,4,41,0,0,0,0,0,7672,37,158,44,54,39,42,19,8,19,1316,240,5,110,119,44,5214,271,3,268,50,178,178,47,129952,23143,1529,68,64073,7800,64073,7800,142,291,2
-123.120834,45.470833,0.628777777777778,46,0,3,33,0,1,15,0,0,0,0,1,77529.5,23.6666666666667,133.5,81,52,39,44,17,11,21,1132,240,6,102,116,45,4957,256,0,256,46,166,168,42,958733,167329,11217,68,470310,55128,470310,55128,315,353,3
-123.120834,45.504166,0.336666666666667,55,0,2,32,0,1,9,0,1,0,0,0,42795,31,145,91,52,39,45,16,13,22,1074,240,7,102,112,44,4932,251,0,251,46,166,167,42,684119,117497,8462,67,333116,40989,333116,40989,315,441,2
-123.054169,45.504166,0.595833333333333,46,0,3,31,0,2,17,0,1,0,0,0,132781.75,27,140.25,80,53,39,44,17,11,21,1131,240,6,103,114,44,4972,256,0,256,47,168,169,43,1769435,307267,21228,68,865826,104122,865826,104122,290,363,3
-123.012497,45.520832,1.57333333333334,30,0,4,32,0,3,29,0,1,0,0,0,124659,24.5,127,55,51,39,42,19,9,18,1250,240,6,108,113,43,5217,262,2,260,48,176,176,44,1375047,233499,18441,65,662045,92675,662045,92675,208,248,3
-122.995834,45.504166,1.01933333333333,38,0,4,31,0,2,23,0,1,0,0,0,267202.8,26,134.2,67,52,39,43,18,10,20,1191,240,6,105,114,44,5100,259,1,258,47,171,172,43,3185727,548010,40229,66,1547956,199707,1547956,199707,247,302,4
-122.95417,45.445835,2.23333333333333,35,0,4,29,0,2,25,0,4,0,0,0,217862,34,151,62,53,39,43,18,10,20,1213,240,5,106,114,44,5143,260,2,258,48,173,174,44,3509029,602719,45128,66,1701262,224952,1701262,224952,226,277,4
-122.95417,45.487499,1.16933333333333,38,0,4,30,0,3,24,0,1,0,0,0,269721.2,26.6,134.6,66,52,39,43,18,10,20,1194,240,6,105,114,44,5110,259,1,258,47,172,173,43,3217394,553530,40677,66,1563258,202045,1563258,202045,244,298,4
-122.9375,45.504166,1.45666666666667,20,0,5,20,0,2,27,0,25,0,0,0,19775.5,28.5,130.5,33,58,43,40,17,7,19,1351,240,3,112,112,42,5352,267,4,263,50,182,182,47,226228,37940,3485,60,106680,17909,106680,17909,103,137,2
