longitude,latitude,mean,std,cv,lc01,lc02,lc03,lc04,lc05,lc06,lc07,lc08,lc09,lc10,lc11,lc12,prec,tmin,tmax,soil01,soil02,soil03,soil04,soil05,soil06,soil07,soil08,soil09,soil10,hydro01,hydro02,hydro03,hydro04,hydro05,hydro06,hydro07,hydro08,hydro09,hydro10,hydro11,hydro12,hydro13,hydro14,hydro15,hydro16,hydro17,hydro18,hydro19,dem,slope,order,RVunif,bcmean,RVunif_bc
-123.2402722,45.4437389,0.251,0.1094,0.3501,66,0,1,33,0,0,0,0,0,0,0,0,43854,11,110,117,50,37,47,16,13,24,988,240,7,95,113,46,4729,243,-3,246,42,156,158,39,374888,64617,4418,68,182937,21313,182937,21313,498,407,2,20.1151639417012,-1.43559151929694,-2.03311222569308
-123.195833333333,45.4708333333333,0.3532,0.0584,0.1666,53,0,2,43,0,0,0,0,0,0,0,2,36718,15,117,92,52,39,46,16,13,23,1057,240,7,100,114,45,4886,251,-1,252,45,163,165,41,316679,54974,3710,68,155202,18107,155202,18107,365,402,2,30.9023251758582,-1.07073884655833,-0.0201356793184626
-123.1834539,46.1812214,0.6259,0.1196,0.1854,28,0,15,45,23,22,12,0,0,0,5,2,77547512,22,120,69,68,46,44,21,17,27,1270,240,7,108,113,39,5677,288,2,286,45,184,185,41,868295360,107329616,38819396,29,310689856,136347296,310689856,136347296,1470,492,8,48.9242049927613,-0.474586336161834,-0.257661602069992
-123.1695889,45.5413111,0.4808,0.1551,0.3282,59,0,2,33,0,0,6,0,0,0,0,0,71198,17,117,98,52,39,46,16,14,23,1041,240,7,101,111,44,4876,248,0,248,46,164,165,42,621561,106405,7735,67,302169,37266,302169,37266,342,467,2,10.9556466375667,-0.747083015170708,0.341342335674802
-123.1556634,45.458725,0.5596,0.1833,0.3275,52,0,2,43,0,0,1,0,0,0,0,2,39627,16,118,87,52,39,45,16,12,22,1082,240,6,101,115,45,4930,254,0,254,46,165,167,42,342273,59549,3999,68,167904,19575,167904,19575,341,391,2,48.396581992227,-0.58979531042056,-0.0073399050920413
-123.124274,45.4748365,0.7127,0.221,0.334,46,0,3,33,0,1,15,0,0,0,0,1,110731,17,119,81,52,39,44,17,11,21,1132,240,6,102,116,45,4957,256,0,256,46,166,168,42,958733,167329,11217,68,470310,55128,470310,55128,315,353,3,50.8839599997979,-0.34183353944522,3.10541167066931
-123.120833333333,45.5041666666666,0.60505,0.16045,0.31,55,0,2,32,0,1,9,0,1,0,0,0,78209,18,119,91,52,39,45,16,13,22,1074,240,7,102,112,44,4932,251,0,251,46,166,167,42,684119,117497,8462,67,333116,40989,333116,40989,315,441,2,35.6284412086846,-0.5093723975308,-1.2537391300191
-123.0562173,45.5020597,0.7177,0.19325,0.2704,46,0,3,31,0,2,17,0,1,0,0,0,156126.5,24,133.5,80,53,39,44,17,11,21,1131,240,6,103,114,44,4972,256,0,256,47,168,169,43,1769435,307267,21228,68,865826,104122,865826,104122,290,363,3,33.9257628963171,-0.334713835220177,-1.39516097506616
-123.0106608,45.5198381,1.8711,0.4323,0.2769,30,0,4,32,0,3,29,0,1,0,0,0,150867,23,125,55,51,39,42,19,9,18,1250,240,6,108,113,43,5217,262,2,260,48,176,176,44,1375047,233499,18441,65,662045,92675,662045,92675,208,248,3,3.43768181767282,0.615971920287338,1.31842026674017
-122.9875,45.4958333333333,1.3015,0.3741,0.2783,38,0,4,31,0,3,23,0,1,0,0,0,358839,20,122,67,52,39,43,18,10,20,1192,240,6,105,114,44,5100,259,1,258,47,171,172,43,3192643,549213,40327,66,1551296,200221,1551296,200221,246,302,4,11.1863324601735,0.261638010889334,-2.1719200890435
-122.9514922,45.4901167,1.4537,0.298,0.2455,38,0,4,30,0,3,24,0,1,0,0,0,361470,20,123,66,52,39,43,18,10,20,1194,240,6,105,114,44,5110,259,1,258,47,172,173,43,3217394,553530,40677,66,1563258,202045,1563258,202045,244,298,4,9.6054245695577,0.370331580008868,-1.88571939088172
-122.9512138,45.4498392,2.0333,0.532,0.2617,35,0,4,29,0,2,25,0,4,0,0,0,391837,21,124,62,53,39,43,18,10,20,1213,240,5,106,114,44,5143,260,2,258,48,173,174,44,3509029,602719,45128,66,1701262,224952,1701262,224952,226,277,4,37.0377703748199,0.69613899156303,2.28852447316381
-122.945833333333,45.4958333333333,1.518,0.3849,0.2363,20,1,5,20,0,2,26,0,27,0,0,0,25294,26,129,33,58,43,40,17,6,19,1352,240,3,112,112,42,5360,267,4,263,50,182,182,46,243165,40867,3731,61,114825,19192,114825,19192,100,128,2,20.7589569960626,0.412691573415579,3.20695653351661
-122.9335,45.5081944,1.2528,0.2515,0.227,20,0,5,20,0,2,27,0,25,0,0,0,23505,26,129,33,58,43,40,17,7,19,1351,240,3,112,112,42,5352,267,4,263,50,182,182,47,226228,37940,3485,60,106680,17909,106680,17909,103,137,2,41.4884239424384,0.224005285699658,-1.05937488878503
-122.920833333333,45.5208333333333,1.05245,0.40895,0.3524,20,0,6,21,0,2,28,0,23,0,0,0,20600,27,129,34,57,43,40,17,7,18,1348,240,4,112,112,42,5359,267,4,263,50,182,182,47,198461,33181,3065,60,93411,15754,93411,15754,111,155,2,26.8635577298112,0.0510497770558835,1.4949644858406
-122.9125,45.5208333333333,1.3008,0.2227,0.1752,20,0,6,21,0,2,28,0,23,0,0,0,20082,27,129,34,57,43,40,17,7,18,1347,240,4,112,112,42,5359,267,4,263,50,182,182,47,193504,32334,2990,60,91046,15365,91046,15365,112,159,2,38.6819751104284,0.261107673144111,-0.332115478415163
-122.9092692,45.5237277,1.5279,0.4954,0.3167,20,0,6,21,0,2,28,0,23,0,0,0,20082,27,129,34,57,43,40,17,7,18,1347,240,4,112,112,42,5359,267,4,263,50,182,182,47,193504,32334,2990,60,91046,15365,91046,15365,112,159,2,53.4221351549712,0.419045103958457,3.32271710678699
-122.904166666667,45.5291666666666,1.348,0.4406,0.318,20,0,6,21,0,2,28,0,23,0,0,0,19775,27,129,34,57,43,40,17,7,18,1346,240,4,112,111,42,5369,267,4,263,50,182,182,46,190550,31830,2945,60,89639,15131,89639,15131,113,162,2,20.5403145357658,0.296210017476957,2.51312994578782
-122.899511,45.5292139,1.6625,0.1576,0.0948,20,0,6,20,0,2,29,0,23,0,0,0,19259,27,129,34,56,43,39,17,7,18,1346,240,4,112,111,42,5369,267,4,263,50,182,182,46,185590,30987,2870,60,87282,14741,87282,14741,115,166,2,41.8970507046815,0.501359975155754,2.06267279379548
-122.8875,45.5208333333333,1.295,0.2768,0.2037,28,1,1,18,0,1,11,0,42,0,0,0,8549,27,129,34,58,45,39,16,7,18,1355,240,4,112,111,42,5367,267,4,263,50,182,182,47,82640,13762,1284,60,38795,6602,38795,6602,112,167,1,50.3481721785853,0.256701835694314,-0.968585136705563
-122.8855806,45.5207528,1.2286,0.3865,0.2921,28,1,1,18,0,1,11,0,42,0,0,0,8549,27,129,34,58,45,39,16,7,18,1355,240,4,112,111,42,5367,267,4,263,50,182,182,47,82640,13762,1284,60,38795,6602,38795,6602,112,167,1,11.5177966652258,0.204726971357743,-2.00511290372952
-122.8625,45.5208333333333,1.0811,0.3845,0.3643,32,1,1,20,0,1,13,0,32,0,0,0,5689,28.5,129.5,36,56,46,38,16,8,17,1350,240,5,112,111,42,5369,267,4,263,50,182,182,46,64841,10747,1014,60,30359,5188,30359,5188,128,213,1,35.1381178547019,0.0778139125084031,-0.126269698041488
-122.856861,45.5371111,1.0957,0.4828,0.43995,25,1,2,27,0,2,15,0,28,0,0,0,2909,28.5,129.5,37,55,47,38,16,8,16,1342,240,5,112,111,42,5381,266,4,262,50,182,182,46,33097,5479,516,60,15490,2639,15490,2639,138,245,1,6.86460574594201,0.0911666553677659,2.06921404592236
-122.8564876,45.3748404,1.5057,0.2842,0.1987,28,0,3,23,0,6,38,0,3,0,0,0,7743,26,130,53,57,32,48,20,9,27,1310,240,5,112,115,43,5332,270,3,267,51,182,182,47,73546,12406,1081,61,34808,5498,34808,5498,158,277,1,14.4776852932838,0.404736655392794,3.19436532840324
-122.854166666667,45.5291666666666,1.0941,0.4082,0.3726,33,1,1,21,0,2,13,0,30,0,0,0,6195,27,129,36,56,47,38,15,8,17,1349,240,5,112,111,42,5369,266,4,262,50,182,182,46,59871,9909,936,59,28009,4790,28009,4790,134,231,1,20.8669941104811,0.0897125225546931,1.66988560552493
-122.8517655,45.3881737,2.0513,0.5804,0.2829,34,0,4,28,0,3,27,0,3,0,0,0,423831,21,124,60,54,38,43,18,9,21,1224,240,5,106,114,44,5144,261,2,259,48,173,174,44,3807768,654165,49297,66,1844870,246253,1844870,246253,216,270,4,0.836893825892406,0.704616904084247,1.83473532055597
