NUTS YYYY MM 0 BAREA
BG311 2005 04 2 0.282594
BG311 2006 11 2 0.600812
BG311 2007 01 3 65.8331
BG311 2007 02 3 9.78246
BG311 2007 04 2 44.4997
BG311 2007 06 2 30.5861
BG311 2007 07 2 5534.21
BG312 2005 04 3 10.6419
BG312 2006 10 2 0.293182
BG312 2006 11 5 92.0624
BG312 2006 12 3 29.1471
BG312 2007 01 3 114.535
BG312 2007 02 3 17.3247
BG312 2007 03 3 322.063
BG312 2007 04 3 521.189
BG312 2007 05 3 4.13178
BG312 2007 06 2 5.94132
BG312 2007 07 2 1117.64
BG313 2005 03 2 48.0927
BG313 2006 03 2 6.13806
BG313 2006 07 2 2.44256
BG313 2006 11 2 0.347652
BG313 2007 01 2 205.374
BG313 2007 02 2 103.186
BG313 2007 03 2 394.699
BG313 2007 04 5 36.6292
BG313 2007 05 3 7.68499
BG313 2007 07 3 267.507
BG313 2007 08 2 8.23134
BG314 2005 03 4 2.21985
BG314 2006 07 3 2.58765
BG314 2006 08 2 3.64928
BG314 2006 09 2 0.302142
BG314 2007 03 2 31.1266
BG314 2007 05 3 49.9327
BG314 2007 06 2 5.50835
BG314 2007 07 2 1243.67
BG314 2007 08 2 70.1061
BG315 2005 03 2 125.772
BG315 2005 04 2 95.5232
BG315 2005 06 2 3.70607
BG315 2006 04 2 36.2185
BG315 2006 11 3 31.5821
BG315 2006 12 3 123.5
BG315 2007 01 3 97.1538
BG315 2007 02 3 72.1268
BG315 2007 03 3 1825.58
BG315 2007 04 3 709.847
BG315 2007 05 4 37.3087
BG315 2007 07 4 2595.44
BG321 2005 03 3 59.201
BG321 2005 04 2 0.562725
BG321 2006 03 2 6.28263
BG321 2006 08 2 3.23006
BG321 2006 11 2 1.01262
BG321 2007 01 2 34.6964
BG321 2007 02 2 15.8478
BG321 2007 03 2 128.72
BG321 2007 04 2 44.5743
BG321 2007 05 4 36.5963
BG321 2007 06 3 0.207622
BG321 2007 07 3 736.828
BG321 2007 08 3 16.4847
BG322 2005 03 3 6.33855
BG322 2005 04 2 5.45605
BG322 2006 03 3 1.85972
BG322 2006 11 2 0.248026
BG322 2007 01 2 25.6421
BG322 2007 02 3 2.47755
BG322 2007 03 3 23.3933
BG322 2007 04 3 61.2729
BG322 2007 07 3 1142.19
BG322 2007 08 3 0.195825
BG323 2005 03 3 8.98824
BG323 2005 04 2 3.04655
BG323 2006 03 2 2.67472
BG323 2006 06 2 3.01386
BG323 2006 08 4 0.911752
BG323 2006 09 2 0.759697
BG323 2007 04 5 2.25699
BG323 2007 05 2 0.346974
BG323 2007 07 2 10.9846
BG323 2007 09 2 0.218432
BG324 2005 03 2 0.97613
BG324 2005 04 2 2.06119
BG324 2006 04 2 0.64145
BG324 2006 08 2 7.40875
BG324 2007 01 2 1.83585
BG324 2007 05 2 0.0708554
BG324 2007 06 2 3.00246
BG324 2007 07 2 31.0683
BG325 2005 04 2 1.34959
BG325 2005 07 2 27.4231
BG325 2006 08 2 1.34587
BG325 2006 09 2 0.249886
BG325 2007 03 3 50.6905
BG325 2007 07 3 139.212
BG325 2007 10 2 4.28359
