SURVEYID,TRANSECT,POINT,VATH,EASTING,NORTHING
1,452511619,3,0,59332.20152,173288.9592
2,452511619,5,0,59142.22387,173151.8202
3,452511619,6,0,58834.36147,173185.7345
4,452511619,9,0,58754.23851,172876.0374
5,452511625,1,0,59037.42015,181450.2337
6,452511625,4,0,59336.71434,181389.0516
7,452511625,6,0,59220.68783,181108.1749
8,452511625,8,0,59020.85067,180919.4966
9,452711607,1,0,82039.42598,183577.781
10,452711607,2,0,82005.13931,183821.565
11,452711607,3,0,81967.27873,184087.9565
12,452711607,4,0,81880.95534,184310.5076
13,452711607,5,0,81954.40532,184556.3065
14,452711607,6,0,82077.14114,184800.1565
15,452711607,7,0,82026.83919,185030.8039
16,453111557,1,0,95207.58392,190391.905
17,453111557,2,0,95350.2202,190486.0329
18,453111557,3,0,95376.09789,190675.6767
19,453111557,4,0,95470.03654,190835.1612
20,453111557,5,0,95548.67248,191037.1682
21,453111557,6,0,95774.23301,191119.9883
22,453111557,7,1,95880.24719,191274.02
23,453111557,8,0,95910.27383,191504.5784
24,453111557,9,0,96067.71051,191626.4883
25,453111557,10,0,96120.26162,191399.1432
26,453211419,2,0,223273.0296,180586.3285
27,453211419,3,0,222994.9883,180521.088
28,453211419,4,0,222706.8611,180558.9098
29,453211419,5,0,222423.3639,180620.9528
30,453611624,2,0,62195.69682,202192.3597
31,453611624,3,0,62046.56621,202020.3411
32,453611624,4,0,61875.07337,201834.6831
33,453611624,5,0,61682.91738,201716.6767
34,453711622,2,0,65282.11227,202974.7722
35,453711622,3,0,65572.3546,203016.2235
36,453711622,4,0,65624.81319,203248.1181
37,453711622,6,0,65879.97568,203264.7728
38,454211602,1,1,90821.04913,210968.7658
39,454211602,2,1,90745.11524,210715.2749
40,454211602,4,0,90559.26579,210315.9739
41,454211602,5,0,90434.5275,210114.5298
42,454211602,7,1,90463.29461,209767.5124
43,454211602,9,1,90142.25723,209555.7564
44,454311415,4,0,230797.372,201486.1963
45,454311415,5,0,231006.4494,201499.133
46,454311415,7,0,231491.5834,201433.0175
47,454311415,8,0,231745.4817,201567.9663
48,454611543,1,1,116258.2083,216962.9369
49,454611543,2,1,116479.4985,217125.934
50,454611543,3,0,116753.7407,217278.036
51,454611543,4,0,116971.8874,217185.9872
52,454611543,5,0,117282.973,217330.7227
53,454611545,1,0,113579.0866,215932.5977
54,454611545,2,0,113343.4879,215709.5217
55,454611545,3,1,113118.3868,215744.2795
56,454611545,4,0,112819.4071,215587.6233
57,454611607,2,0,87946.39185,218752.972
58,454611607,3,0,87872.51997,218959.961
59,454611607,4,0,87612.05618,218963.7521
60,454611607,5,0,87394.16648,218971.6562
61,454811401,1,0,248334.9299,210740.1914
62,454811401,2,0,248149.0282,210514.9332
63,454811401,3,0,247859.1457,210538.392
64,454811401,4,0,247704.0301,210428.2567
65,454811410,1,0,237350.1685,211780.6509
66,454811410,2,0,237652.8758,211777.0768
67,454811410,3,0,237945.8074,211713.9776
68,454811410,4,0,238205.99,211571.5652
69,454911350,2,0,263152.1486,210264.289
70,454911350,3,0,262975.4602,210110.4508
71,454911350,4,0,262956.1057,209867.9748
72,454911350,5,0,262815.221,209649.5998
73,454911419,1,0,225550.4979,213042.2492
74,454911419,2,0,225311.8685,213116.4155
75,454911419,3,0,225140.1447,213160.4088
76,454911419,4,0,224929.6572,213232.4098
77,454911419,5,0,224754.2217,213342.3414
78,454911419,6,0,224604.4604,213451.8064
79,454911419,7,0,224354.184,213383.7538
80,454911419,8,0,224099.4527,213319.3273
81,454911419,9,0,223869.258,213336.908
82,454911419,10,0,223628.3125,213331.7789
83,455011350,2,0,263498.3832,214225.6329
84,455011350,3,0,263454.4058,214485.2013
85,455011350,4,0,263580.8383,214745.3526
86,455011350,5,0,263443.7133,214994.4955
87,455111412,1,0,234988.5187,216969.1236
88,455111412,2,0,234776.3953,216766.9793
89,455111412,3,0,234595.6376,216517.3041
90,455111412,4,0,234684.1501,216268.1381
91,455111412,5,0,234803.2875,216010.4527
92,455111412,6,0,234982.583,215847.1381
93,455111412,7,0,234889.3416,215538.7528
94,455111412,8,0,234700.8165,215678.1288
95,455111412,9,0,234379.8386,215594.9988
96,455111412,10,0,234435.1563,215828.8323
97,455511342,3,0,275364.1398,220434.3064
98,455511342,4,0,275646.8549,220373.5611
99,455511342,5,0,275916.343,220312.4222
100,455511342,6,0,276195.6026,220274.1482
101,455511354,1,0,259204.992,222496.587
102,455511354,2,0,259252.4515,222774.4536
103,455511354,3,0,259507.5115,222930.4607
104,455511354,4,0,259276.5382,223120.4262
105,455511354,5,0,259259.8716,223418.5925
106,455511354,6,0,259435.1812,223621.3768
107,455511354,7,0,259556.0017,223863.959
108,455511354,8,0,259249.7596,223667.4094
109,455511354,9,0,259022.3822,223588.8974
110,455511354,10,0,258925.42,223342.7573
111,455511553,2,1,104628.7375,233311.3072
112,455511553,3,1,104758.8252,233531.5135
113,455511553,4,0,104734.2256,233773.288
114,455511553,5,0,104727.3431,234079.4102
115,455711402,2,0,248022.9705,227809.7618
116,455711402,3,0,248011.984,228128.8213
117,455711402,4,0,247774.5394,227997.872
118,455711402,5,0,247468.0807,228029.0416
